DateTime,Date,Time,Day,Hour,Time_Of_Day,DateID
4/22/2025 6:00,4/22/2025,6:00:00 AM,Tuesday,6,Morning,20240570
4/22/2025 9:00,4/22/2025,9:00:00 AM,Tuesday,9,Morning,20240571
4/22/2025 12:00,4/22/2025,12:00:00 PM,Tuesday,12,Afternoon,20240572
4/22/2025 15:00,4/22/2025,3:00:00 PM,Tuesday,15,Afternoon,20240573
4/22/2025 18:00,4/22/2025,6:00:00 PM,Tuesday,18,Evening,20240574
4/22/2025 21:00,4/22/2025,9:00:00 PM,Tuesday,21,Night,20240575
4/23/2025 0:00,4/23/2025,12:00:00 AM,Wednesday,0,Night,20240576
4/23/2025 3:00,4/23/2025,3:00:00 AM,Wednesday,3,Night,20240577
4/23/2025 6:00,4/23/2025,6:00:00 AM,Wednesday,6,Morning,20240578
4/23/2025 9:00,4/23/2025,9:00:00 AM,Wednesday,9,Morning,20240579
4/23/2025 12:00,4/23/2025,12:00:00 PM,Wednesday,12,Afternoon,20240580
4/24/2025 6:00,4/24/2025,6:00:00 AM,Thursday,6,Morning,20240581
4/24/2025 9:00,4/24/2025,9:00:00 AM,Thursday,9,Morning,20240582
4/24/2025 12:00,4/24/2025,12:00:00 PM,Thursday,12,Afternoon,20240583
4/25/2025 9:00,4/25/2025,9:00:00 AM,Friday,9,Morning,20240584
4/25/2025 12:00,4/25/2025,12:00:00 PM,Friday,12,Afternoon,20240585
4/25/2025 15:00,4/25/2025,3:00:00 PM,Friday,15,Afternoon,20240586
4/25/2025 18:00,4/25/2025,6:00:00 PM,Friday,18,Evening,20240587
4/25/2025 21:00,4/25/2025,9:00:00 PM,Friday,21,Night,20240588
4/26/2025 0:00,4/26/2025,12:00:00 AM,Saturday,0,Night,20240589
4/26/2025 3:00,4/26/2025,3:00:00 AM,Saturday,3,Night,20240590
4/26/2025 6:00,4/26/2025,6:00:00 AM,Saturday,6,Morning,20240591
4/26/2025 9:00,4/26/2025,9:00:00 AM,Saturday,9,Morning,20240592
4/26/2025 12:00,4/26/2025,12:00:00 PM,Saturday,12,Afternoon,20240593
4/26/2025 15:00,4/26/2025,3:00:00 PM,Saturday,15,Afternoon,20240594
4/26/2025 18:00,4/26/2025,6:00:00 PM,Saturday,18,Evening,20240595
4/26/2025 21:00,4/26/2025,9:00:00 PM,Saturday,21,Night,20240596
